OrgDefinedId,Username,ex1 Points Grade <Numeric MaxPoints:2>,ex3 Points Grade <Numeric MaxPoints:2>,ex6 Points Grade <Numeric MaxPoints:2>,ex2 Points Grade <Numeric MaxPoints:2>,ex5 Points Grade <Numeric MaxPoints:2>,ex4 Points Grade <Numeric MaxPoints:2>,assignment 1 Points Grade <Numeric MaxPoints:13>,assignment 2 Points Grade <Numeric MaxPoints:13>,assignment 3 Points Grade <Numeric MaxPoints:13>,assignment 4 Points Grade <Numeric MaxPoints:13>,assignment 5 Points Grade <Numeric MaxPoints:13>,assignment 6 Points Grade <Numeric MaxPoints:13>,presentation Points Grade <Numeric MaxPoints:10>,essay Points Grade <Numeric MaxPoints:30>,End-of-Line Indicator
#65,#bob,2,2,,2,,2,7.68,10.5,10.4,11.31,10.79,,8.7,16,#
#66,#bob,0,2,,2,,2,,11.3,10.27,10.27,10.27,,7,20,#
#67,#bob,2,2,2,2,2,2,4.73,10,10.4,11.18,,10.01,8.5,22,#
#68,#bob,2,2,,2,,2,6.89,10.5,10.66,11.18,11.05,,8.5,18,#
#69,#bob,2,2,,2,2,2,7.28,10.2,9.1,11.05,11.05,,9,21,#
#70,#bob,2,2,,2,2,2,7.48,11,10.53,11.05,11.05,,8.5,0,#
#71,#bob,2,2,2,2,2,2,5.51,11.2,10.01,10.53,,11.31,8,18,#
#72,#bob,2,2,,2,2,2,6.7,11.3,10.4,11.7,11.18,,9,22,#
#73,#bob,2,2,2,0,,2,10.05,11,10.4,10.27,,,8.8,18,#
#74,#bob,0,2,,2,,2,7.68,8.2,8.06,10.92,11.18,,7.8,18,#
#75,#bob,2,2,,2,,2,8.5,10.2,10.53,11.18,,,8.5,20,#
#76,#bob,2,2,2,2,2,2,7.68,12.5,10.53,10.14,11.05,,8,20,#
#77,#bob,2,2,2,2,,2,10.44,10.8,11.7,12.35,,,8.8,26,#
#78,#bob,2,2,2,2,2,2,7.1,10.5,10.92,11.18,10.27,,8.5,18,#
#79,#bob,0,,,0,,,,,,11.18,11.18,11.05,8.5,22,#
#80,#bob,2,2,2,0,2,2,7.68,10.3,,11.18,12.09,11.31,8,21,#
#81,#bob,0,,,0,,,,,,0.91,,,,0,#
